response	trial_index	task	participantID	age	gender	language	amE	comments	expression	cc	context
0	26	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	stop	noCC	explicitIgnorance
0.89	27	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	see	Danny ate the last cupcake	factL
1	28	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	controlGood2	noCC	explicitIgnorance
0.93	29	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	prove	Tony had a drink last night	explicitIgnorance
0	30	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	be annoyed	Charley speaks Spanish	explicitIgnorance
0.91	31	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	hear	Frank got a cat	explicitIgnorance
0.87	32	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	be right	Mary is pregnant	explicitIgnorance
0.65	33	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	discover	Mia drank 2 cocktails last night	factH
0.9	34	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	say	Emma studied on Saturday morning	factH
0	35	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	acknowledge	Jayden rented a car	factL
0.12	36	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	pretend	Jon walks to work	explicitIgnorance
0.85	37	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	suggest	Josie went on vacation to France	explicitIgnorance
0	38	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	continue	noCC	explicitIgnorance
0.92	39	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	establish	Olivia sleeps until noon	factH
0.83	40	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	confess	Isabella ate a steak on Sunday	explicitIgnorance
0	41	target	29	37	male	English	AmE	"""":""""Some of those statements that sound right in context don't actually sound natural. Like asking if someone did something, then in the next sentence, someone asks if that person did a thing in a weird way. Like: John asking:  \""""Stephanie is a college student. Did Melissa hear Stephanie confess to drinking last night?\"""" Technically, yes, that is a true statement, but it rolls off the tongue really weirdly. Like why would Stephanie *admit* to drinking to Melissa? I get that it's technically true in context, but man it just sounds weird you know? \n\nAnyway, i'm sure I got a few wrong that I should have gotten right. Some of the statements were really confusing, and honestly, if I could, i'd have marked more as sounding unnatural. Like it's obvious that it's training for an AI model. \n\nI apologize for paddling on like I have. I'm sure there is a component to this study that I am immediately missing. """"}	reveal	Owen shoveled snow last winter	factL
0.39	1	practice	159	39	male	English	AmE	"""":""""""""}	practice	noCC	other
1	3	practice	159	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0	5	practice	159	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0.57	7	practice	159	39	male	English	AmE	"""":""""""""}	practice	noCC	other
1	9	practice	159	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0.14	11	practice	159	39	male	English	AmE	"""":""""""""}	practice	noCC	other
0.24	14	target	159	39	male	English	AmE	"""":""""""""}	be annoyed	Mia drank 2 cocktails last night	explicitIgnorance
0.83	15	target	159	39	male	English	AmE	"""":""""""""}	discover	Sophia got a tattoo	factH
0.9	16	target	159	39	male	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
1	17	target	159	39	male	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0.67	18	target	159	39	male	English	AmE	"""":""""""""}	announce	Julian dances salsa	explicitIgnorance
0.1	19	target	159	39	male	English	AmE	"""":""""""""}	know	Emily bought a car yesterday	explicitIgnorance
0.89	20	target	159	39	male	English	AmE	"""":""""""""}	controlGood3	noCC	other
1	21	target	159	39	male	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0.76	22	target	159	39	male	English	AmE	"""":""""""""}	establish	Josie went on vacation to France	explicitIgnorance
0.83	23	target	159	39	male	English	AmE	"""":""""""""}	confirm	Charley speaks Spanish	explicitIgnorance
0	24	target	159	39	male	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0.74	25	target	159	39	male	English	AmE	"""":""""""""}	prove	Jon walks to work	explicitIgnorance
0.74	26	target	159	39	male	English	AmE	"""":""""""""}	admit	Zoe calculated the tip	explicitIgnorance
0.75	27	target	159	39	male	English	AmE	"""":""""""""}	hear	Isabella ate a steak on Sunday	explicitIgnorance
0.17	28	target	159	39	male	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0.82	29	target	159	39	male	English	AmE	"""":""""""""}	confess	Owen shoveled snow last winter	explicitIgnorance
0.97	30	target	159	39	male	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.15	31	target	159	39	male	English	AmE	"""":""""""""}	inform	Olivia sleeps until noon	factL
0.13	32	target	159	39	male	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0.05	33	target	159	39	male	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.34	34	target	159	39	male	English	AmE	"""":""""""""}	be right	Mary is pregnant	factL
0.76	35	target	159	39	male	English	AmE	"""":""""""""}	think	Jackson ran 10 miles	explicitIgnorance
0.66	36	target	159	39	male	English	AmE	"""":""""""""}	say	Grace visited her sister	factL
0.76	37	target	159	39	male	English	AmE	"""":""""""""}	demonstrate	Emma studied on Saturday morning	explicitIgnorance
0.83	38	target	159	39	male	English	AmE	"""":""""""""}	see	Danny ate the last cupcake	explicitIgnorance
0.67	39	target	159	39	male	English	AmE	"""":""""""""}	acknowledge	Josh learned to ride a bike yesterday	factH
0.18	40	target	159	39	male	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.64	41	target	159	39	male	English	AmE	"""":""""""""}	reveal	Frank got a cat	factL
0.65	42	target	159	39	male	English	AmE	"""":""""""""}	pretend	Jayden rented a car	factH
0.75	43	target	159	39	male	English	AmE	"""":""""""""}	suggest	Tony had a drink last night	factH
1	1	practice	126	33	female	English	AmE	"""":""""""""}	practice	noCC	other
0	3	practice	126	33	female	English	AmE	"""":""""""""}	practice	noCC	other
0.8	5	practice	126	33	female	English	AmE	"""":""""""""}	practice	noCC	other
0	7	practice	126	33	female	English	AmE	"""":""""""""}	practice	noCC	other
0.63	10	target	126	33	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0	11	target	126	33	female	English	AmE	"""":""""""""}	be right	Josh learned to ride a bike yesterday	factL
0	12	target	126	33	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0	13	target	126	33	female	English	AmE	"""":""""""""}	confess	Isabella ate a steak on Sunday	explicitIgnorance
0.61	14	target	126	33	female	English	AmE	"""":""""""""}	acknowledge	Mia drank 2 cocktails last night	explicitIgnorance
1	15	target	126	33	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
1	16	target	126	33	female	English	AmE	"""":""""""""}	say	Emily bought a car yesterday	explicitIgnorance
0	17	target	126	33	female	English	AmE	"""":""""""""}	be annoyed	Emma studied on Saturday morning	factH
1	18	target	126	33	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
1	19	target	126	33	female	English	AmE	"""":""""""""}	think	Charley speaks Spanish	factH
1	20	target	126	33	female	English	AmE	"""":""""""""}	establish	Olivia sleeps until noon	explicitIgnorance
1	21	target	126	33	female	English	AmE	"""":""""""""}	suggest	Danny ate the last cupcake	factH
0.39	22	target	126	33	female	English	AmE	"""":""""""""}	inform	Tony had a drink last night	explicitIgnorance
0.25	23	target	126	33	female	English	AmE	"""":""""""""}	confirm	Jayden rented a car	explicitIgnorance
0.87	24	target	126	33	female	English	AmE	"""":""""""""}	announce	Owen shoveled snow last winter	explicitIgnorance
1	25	target	126	33	female	English	AmE	"""":""""""""}	prove	Jackson ran 10 miles	explicitIgnorance
0	26	target	126	33	female	English	AmE	"""":""""""""}	demonstrate	Frank got a cat	explicitIgnorance
0	27	target	126	33	female	English	AmE	"""":""""""""}	know	Julian dances salsa	explicitIgnorance
0	28	target	126	33	female	English	AmE	"""":""""""""}	pretend	Josie went on vacation to France	factL
0	29	target	126	33	female	English	AmE	"""":""""""""}	discover	Sophia got a tattoo	factL
0.25	30	target	126	33	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
1	31	target	126	33	female	English	AmE	"""":""""""""}	controlGood4	noCC	other
1	32	target	126	33	female	English	AmE	"""":""""""""}	hear	Jon walks to work	explicitIgnorance
1	33	target	126	33	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
1	34	target	126	33	female	English	AmE	"""":""""""""}	controlGood3	noCC	other
0.04	35	target	126	33	female	English	AmE	"""":""""""""}	reveal	Grace visited her sister	factH
1	36	target	126	33	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0	37	target	126	33	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0	38	target	126	33	female	English	AmE	"""":""""""""}	admit	Zoe calculated the tip	explicitIgnorance
0	39	target	126	33	female	English	AmE	"""":""""""""}	see	Mary is pregnant	factL
0.41	1	practice	299	49	female	English	AmE	"""":""""""""}	practice	noCC	other
1	3	practice	299	49	female	English	AmE	"""":""""""""}	practice	noCC	other
0.02	5	practice	299	49	female	English	AmE	"""":""""""""}	practice	noCC	other
1	7	practice	299	49	female	English	AmE	"""":""""""""}	practice	noCC	other
0	9	practice	299	49	female	English	AmE	"""":""""""""}	practice	noCC	other
0	12	target	299	49	female	English	AmE	"""":""""""""}	confess	Emma studied on Saturday morning	explicitIgnorance
0.18	13	target	299	49	female	English	AmE	"""":""""""""}	controlGood3	noCC	other
0.86	14	target	299	49	female	English	AmE	"""":""""""""}	be right	Tony had a drink last night	factH
0.88	15	target	299	49	female	English	AmE	"""":""""""""}	discover	Jon walks to work	factL
0.22	16	target	299	49	female	English	AmE	"""":""""""""}	establish	Owen shoveled snow last winter	factL
0.05	17	target	299	49	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
0.09	18	target	299	49	female	English	AmE	"""":""""""""}	be annoyed	Jackson ran 10 miles	explicitIgnorance
0.99	19	target	299	49	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0.86	20	target	299	49	female	English	AmE	"""":""""""""}	see	Charley speaks Spanish	factH
0.93	21	target	299	49	female	English	AmE	"""":""""""""}	know	Julian dances salsa	factH
0.12	22	target	299	49	female	English	AmE	"""":""""""""}	demonstrate	Sophia got a tattoo	explicitIgnorance
0.12	23	target	299	49	female	English	AmE	"""":""""""""}	announce	Josie went on vacation to France	explicitIgnorance
0.1	24	target	299	49	female	English	AmE	"""":""""""""}	confirm	Mia drank 2 cocktails last night	factL
1	25	target	299	49	female	English	AmE	"""":""""""""}	prove	Olivia sleeps until noon	explicitIgnorance
0.15	26	target	299	49	female	English	AmE	"""":""""""""}	pretend	Danny ate the last cupcake	explicitIgnorance
0.92	27	target	299	49	female	English	AmE	"""":""""""""}	admit	Grace visited her sister	explicitIgnorance
0.93	28	target	299	49	female	English	AmE	"""":""""""""}	say	Josh learned to ride a bike yesterday	explicitIgnorance
0.95	29	target	299	49	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0.92	30	target	299	49	female	English	AmE	"""":""""""""}	hear	Emily bought a car yesterday	explicitIgnorance
0.12	31	target	299	49	female	English	AmE	"""":""""""""}	reveal	Mary is pregnant	factL
0.9	32	target	299	49	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.88	33	target	299	49	female	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.07	34	target	299	49	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0.89	35	target	299	49	female	English	AmE	"""":""""""""}	think	Isabella ate a steak on Sunday	explicitIgnorance
0.88	36	target	299	49	female	English	AmE	"""":""""""""}	acknowledge	Jayden rented a car	explicitIgnorance
0.11	37	target	299	49	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0.91	38	target	299	49	female	English	AmE	"""":""""""""}	suggest	Frank got a cat	explicitIgnorance
0.07	39	target	299	49	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.08	40	target	299	49	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0.89	41	target	299	49	female	English	AmE	"""":""""""""}	inform	Zoe calculated the tip	factH
0.39	1	practice	218	25	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0.61	3	practice	218	25	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0.28	5	practice	218	25	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0.85	7	practice	218	25	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0.2	9	practice	218	25	male	English	AmE	"""":""""N/A""""}	practice	noCC	other
0.77	12	target	218	25	male	English	AmE	"""":""""N/A""""}	inform	Olivia sleeps until noon	explicitIgnorance
0.31	13	target	218	25	male	English	AmE	"""":""""N/A""""}	cleft	noCC	explicitIgnorance
0.35	14	target	218	25	male	English	AmE	"""":""""N/A""""}	see	Grace visited her sister	factL
0.31	15	target	218	25	male	English	AmE	"""":""""N/A""""}	continue	noCC	explicitIgnorance
0.27	16	target	218	25	male	English	AmE	"""":""""N/A""""}	suggest	Mary is pregnant	factL
0.75	17	target	218	25	male	English	AmE	"""":""""N/A""""}	announce	Owen shoveled snow last winter	factH
0.73	18	target	218	25	male	English	AmE	"""":""""N/A""""}	think	Josh learned to ride a bike yesterday	explicitIgnorance
0.74	19	target	218	25	male	English	AmE	"""":""""N/A""""}	confirm	Julian dances salsa	explicitIgnorance
0.3	20	target	218	25	male	English	AmE	"""":""""N/A""""}	admit	Charley speaks Spanish	explicitIgnorance
0.73	21	target	218	25	male	English	AmE	"""":""""N/A""""}	establish	Mia drank 2 cocktails last night	explicitIgnorance
0.75	22	target	218	25	male	English	AmE	"""":""""N/A""""}	controlGood2	noCC	explicitIgnorance
0.75	23	target	218	25	male	English	AmE	"""":""""N/A""""}	say	Zoe calculated the tip	explicitIgnorance
0.3	24	target	218	25	male	English	AmE	"""":""""N/A""""}	demonstrate	Isabella ate a steak on Sunday	factL
0.83	25	target	218	25	male	English	AmE	"""":""""N/A""""}	controlGood1	noCC	explicitIgnorance
0.78	26	target	218	25	male	English	AmE	"""":""""N/A""""}	reveal	Jackson ran 10 miles	explicitIgnorance
0.7	27	target	218	25	male	English	AmE	"""":""""N/A""""}	be right	Emily bought a car yesterday	factH
0.28	28	target	218	25	male	English	AmE	"""":""""N/A""""}	too	noCC	explicitIgnorance
0.76	29	target	218	25	male	English	AmE	"""":""""N/A""""}	controlGood3	noCC	other
0.78	30	target	218	25	male	English	AmE	"""":""""N/A""""}	hear	Emma studied on Saturday morning	explicitIgnorance
0.75	31	target	218	25	male	English	AmE	"""":""""N/A""""}	know	Jayden rented a car	factH
0.37	32	target	218	25	male	English	AmE	"""":""""N/A""""}	acknowledge	Frank got a cat	explicitIgnorance
0.67	33	target	218	25	male	English	AmE	"""":""""N/A""""}	discover	Tony had a drink last night	explicitIgnorance
0.33	34	target	218	25	male	English	AmE	"""":""""N/A""""}	pretend	Josie went on vacation to France	factH
0.23	35	target	218	25	male	English	AmE	"""":""""N/A""""}	controlGood4	noCC	other
0.67	36	target	218	25	male	English	AmE	"""":""""N/A""""}	be annoyed	Danny ate the last cupcake	explicitIgnorance
0.74	37	target	218	25	male	English	AmE	"""":""""N/A""""}	prove	Sophia got a tattoo	explicitIgnorance
0.4	38	target	218	25	male	English	AmE	"""":""""N/A""""}	again	noCC	explicitIgnorance
0.33	39	target	218	25	male	English	AmE	"""":""""N/A""""}	also	noCC	explicitIgnorance
0.28	40	target	218	25	male	English	AmE	"""":""""N/A""""}	confess	Jon walks to work	factL
0.75	41	target	218	25	male	English	AmE	"""":""""N/A""""}	stop	noCC	explicitIgnorance
0.92	1	practice	283	58	female	English	AmE	"""":""""""""}	practice	noCC	other
0	3	practice	283	58	female	English	AmE	"""":""""""""}	practice	noCC	other
0.95	5	practice	283	58	female	English	AmE	"""":""""""""}	practice	noCC	other
0	7	practice	283	58	female	English	AmE	"""":""""""""}	practice	noCC	other
0.97	10	target	283	58	female	English	AmE	"""":""""""""}	controlGood2	noCC	explicitIgnorance
0.9	11	target	283	58	female	English	AmE	"""":""""""""}	admit	Grace visited her sister	explicitIgnorance
0.07	12	target	283	58	female	English	AmE	"""":""""""""}	know	Isabella ate a steak on Sunday	factL
1	13	target	283	58	female	English	AmE	"""":""""""""}	controlGood1	noCC	explicitIgnorance
0.77	14	target	283	58	female	English	AmE	"""":""""""""}	pretend	Jon walks to work	factL
0.75	15	target	283	58	female	English	AmE	"""":""""""""}	controlGood3	noCC	other
0.99	16	target	283	58	female	English	AmE	"""":""""""""}	be right	Frank got a cat	factH
0.91	17	target	283	58	female	English	AmE	"""":""""""""}	announce	Jayden rented a car	explicitIgnorance
0.9	18	target	283	58	female	English	AmE	"""":""""""""}	think	Julian dances salsa	explicitIgnorance
0.92	19	target	283	58	female	English	AmE	"""":""""""""}	inform	Tony had a drink last night	explicitIgnorance
0	20	target	283	58	female	English	AmE	"""":""""""""}	see	Mary is pregnant	factL
0.97	21	target	283	58	female	English	AmE	"""":""""""""}	prove	Josh learned to ride a bike yesterday	explicitIgnorance
0.02	22	target	283	58	female	English	AmE	"""":""""""""}	continue	noCC	explicitIgnorance
0.88	23	target	283	58	female	English	AmE	"""":""""""""}	reveal	Sophia got a tattoo	factH
0.16	24	target	283	58	female	English	AmE	"""":""""""""}	again	noCC	explicitIgnorance
0.69	25	target	283	58	female	English	AmE	"""":""""""""}	say	Josie went on vacation to France	explicitIgnorance
0.03	26	target	283	58	female	English	AmE	"""":""""""""}	hear	Danny ate the last cupcake	factL
0.15	27	target	283	58	female	English	AmE	"""":""""""""}	discover	Jackson ran 10 miles	explicitIgnorance
0.68	28	target	283	58	female	English	AmE	"""":""""""""}	acknowledge	Emily bought a car yesterday	explicitIgnorance
0.66	29	target	283	58	female	English	AmE	"""":""""""""}	too	noCC	explicitIgnorance
0.61	30	target	283	58	female	English	AmE	"""":""""""""}	establish	Zoe calculated the tip	explicitIgnorance
0.99	31	target	283	58	female	English	AmE	"""":""""""""}	demonstrate	Charley speaks Spanish	factH
0.17	32	target	283	58	female	English	AmE	"""":""""""""}	cleft	noCC	explicitIgnorance
0.77	33	target	283	58	female	English	AmE	"""":""""""""}	suggest	Emma studied on Saturday morning	explicitIgnorance
0.75	34	target	283	58	female	English	AmE	"""":""""""""}	also	noCC	explicitIgnorance
0.5	35	target	283	58	female	English	AmE	"""":""""""""}	confirm	Olivia sleeps until noon	factH
0.81	36	target	283	58	female	English	AmE	"""":""""""""}	controlGood4	noCC	other
0.11	37	target	283	58	female	English	AmE	"""":""""""""}	be annoyed	Mia drank 2 cocktails last night	explicitIgnorance
0.14	38	target	283	58	female	English	AmE	"""":""""""""}	confess	Owen shoveled snow last winter	explicitIgnorance
0.01	39	target	283	58	female	English	AmE	"""":""""""""}	stop	noCC	explicitIgnorance
0.89	1	practice	349	57	female	English	AmE	"""":""""""""}	practice	noCC	other
0	3	practice	349	57	female	English	AmE	"""":""""""""}	practice	noCC	other
0.76	5	practice	349	57	female	English	AmE	"""":""""""""}	practice	noCC	other
